Artist,Album,Track Name,Track URI
The Game,Doctor's Advocate,Too Much,spotify:track:6xMRTippHBo7DI7CcnAoTK
Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),spotify:track:2W3ZpQg9i6lE6kmHbcdu9N
Fergie,The Dutchess,Glamorous,spotify:track:4KTtYhxFtFL7mBwnjkKfLm
Jerry Paper,Like a Baby,My God,spotify:track:7g6Aklt0F0HkzK69Hnj6z6
Lana Del Rey,Honeymoon,Art Deco,spotify:track:5jqNQZBwbZWQXPWfo0ygZF
Fatima Yamaha,A Girl Between Two Worlds,What's a Girl to Do,spotify:track:5N720bYInxSsiUDvBOLM3C
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,Sunday Morning,spotify:track:11607FzqoipskTsXrwEHnJ
Lana Del Rey,Lust For Life,Beautiful People Beautiful Problems (feat. Stevie Nicks),spotify:track:3O7p9Itz8PXUoAjD2vmuM6
Natasha Bedingfield,Strip Me Away,Pocketful of Sunshine,spotify:track:4hjuUelurEBKlqpJPJ77Iw
SYTË,EP,Crying in the Club,spotify:track:3xWs8NkgnYH5tIBoyQrgIP
Ne-Yo,Year Of The Gentleman,Miss Independent,spotify:track:34ceTg8ChN5HjrqiIYCn9Q
Kanye West,Donda,24,spotify:track:7DBFslKWQzoRgO0HBBkL3u
Fleetwood Mac,Say You Will,Thrown Down,spotify:track:4ffoKyYY6ElVpxUpE48jOc
Kings of Leon,Only By The Night,Closer,spotify:track:1O8d2pWtBclzuY3FctBPVa
Kehlani,It Was Good Until It Wasn't,Serial Lover,spotify:track:5ftR963YlX88OeCAPnXG2Z
ZHU,RINGOS DESERT,Coming Home,spotify:track:4u28xxkgsCYGjQ9rJst8Bp
Gesaffelstein,Aleph,Hate or Glory,spotify:track:52A2Y6TDEADBLOJ713sE4K
Saba,Bucket List Project,Stoney (feat. Phoelix & BJRKNC),spotify:track:0HU8CeTestQjoRF2ekaLqx
Joey Valence & Brae,Underground Sound,Underground Sound,spotify:track:5nwU8aKXeBozf61BWQJ0kw
The Weeknd,Take My Breath,Take My Breath - Single Version,spotify:track:6M3PsepEj5gyJoIi7Xvr7u
A$AP Rocky,AT.LONG.LAST.A$AP,Jukebox Joints (feat. Joe Fox & Kanye West),spotify:track:2gAGWaK4wvt2xrFUlR4mK8
Shou,Juless Edits,Juless Edits,spotify:track:2xEq0l32sTh6fxWc9pxORz
Tove Lo,Lady Wood,True Disaster,spotify:track:6s7PleW93OfE3YnujL9yxw
Vampire Weekend,Father of the Bride,Sunflower (feat. Steve Lacy),spotify:track:53KFMdxzi8IJDewiql1Qo3
Mac Miller,Best Day Ever,Donald Trump,spotify:track:2e0PQjgRNMDKeaMH49tHnC
Daniel Avery,Water Jump,Reception,spotify:track:4QXmpmT3vNQjXs6SnXZky5
Fatoumata Diawara,Fenfo (Something To Say),Nterini,spotify:track:4xAUEwVbO5BhqsH49CAOhI
Don Toliver,Heaven Or Hell,Cardigan,spotify:track:0Li1OuXXfi7950ilZUFGkF
