platform,searchTime,searchQuery,searchInteractionURIs
IPHONE,2024-01-05T19:44:52.266Z[UTC],ne,['spotify:track:6uTPdRrEDeH8Fyg5L5qmeU']
IPHONE,2024-01-05T19:44:57.796Z[UTC],never,['spotify:track:6uTPdRrEDeH8Fyg5L5qmeU']
IPHONE_ARM64,2024-01-05T19:51:25.872Z[UTC],bei,[]
IPHONE_ARM64,2024-01-05T19:51:30.863Z[UTC],bring,[]
IPHONE,2024-01-05T19:51:32.183Z[UTC],bring it ,['spotify:track:1EQ2D7HRLZDz2aPSibkACT']
IPHONE_ARM64,2024-01-06T16:01:56.222Z[UTC],sky ,[]
IPHONE,2024-01-06T16:01:58.709Z[UTC],sky might,['spotify:track:4bBEPE5GmdBIFusBEPlRpQ']
IPHONE,2024-01-06T19:32:44.203Z[UTC],give it up ,['spotify:track:3X7wVYr4XpzGgoXmQVnrJo']
IPHONE_ARM64,2024-01-06T19:37:48.762Z[UTC],ta,[]
IPHONE_ARM64,2024-01-06T19:37:51.220Z[UTC],tame impa,[]
IPHONE,2024-01-06T19:37:51.660Z[UTC],tame impala,['spotify:track:2X485T9Z5Ly0xyaghN73ed']
IPHONE_ARM64,2024-01-06T22:07:55.604Z[UTC],ne,[]
IPHONE,2024-01-06T22:07:56.893Z[UTC],next to ,['spotify:track:70tmdhbUPcVxIxCIpChscl']
IPHONE,2024-01-07T14:04:34.415Z[UTC],sky mi,['spotify:track:4bBEPE5GmdBIFusBEPlRpQ']
,2024-01-08T00:09:02.804Z[UTC],c,[]
,2024-01-08T00:09:02.987Z[UTC],ci,[]
,2024-01-08T00:09:03.145Z[UTC],cin,[]
,2024-01-08T00:09:03.629Z[UTC],cinna,[]
,2024-01-08T00:09:03.641Z[UTC],cinn,[]
,2024-01-08T00:09:03.672Z[UTC],cinnam,[]
IPHONE,2024-01-08T00:09:03.869Z[UTC],cinnam,['spotify:track:2mdEsXPu8ZmkHRRtAdC09e']
IPHONE_ARM64,2024-01-08T17:05:56.491Z[UTC],p,[]
IPHONE_ARM64,2024-01-08T17:05:58.253Z[UTC],pinte,[]
IPHONE,2024-01-08T17:05:58.573Z[UTC],pinter,[]
IPHONE_ARM64,2024-01-09T13:38:03.709Z[UTC],i wou,[]
IPHONE,2024-01-09T13:38:04.494Z[UTC],i would,['spotify:search:i+wouldn%27t+mind']
IPHONE,2024-01-09T13:38:05.489Z[UTC],i wouldn't mind,"['spotify:track:1XcFa5d1qoWdCIICnXlggj', 'spotify:track:4Ouhoi2lAhrLJKFzUqEzwl', 'spotify:track:4CoSCPlKNrWli7E5kFtbcl']"
IPHONE,2024-01-09T13:38:25.375Z[UTC],maggie ,['spotify:artist:0uGk2czvcpWQA383Im6ajf']
IPHONE,2024-01-10T01:36:21.476Z[UTC],im god cl,"['spotify:track:0FVuyC9RP5MACjp4lgU3qZ', 'spotify:track:6hBtVO3cAHuCYSn6nNUIer', 'spotify:track:0FVuyC9RP5MACjp4lgU3qZ']"
IPHONE_ARM64,2024-01-10T01:37:22.168Z[UTC],i,[]
IPHONE_ARM64,2024-01-10T01:37:23.444Z[UTC],im god,[]
IPHONE,2024-01-10T01:37:24.814Z[UTC],im god lil,['spotify:track:613KmeuXIuqBM0plNinzUh']
IPHONE_ARM64,2024-01-10T01:39:07.720Z[UTC],im,[]
IPHONE,2024-01-10T01:39:10.329Z[UTC],im god,['spotify:track:3ZaEs1O8BG581qYPHpQ8d6']
IPHONE_ARM64,2024-01-10T20:41:20.804Z[UTC],knife h,[]
IPHONE,2024-01-10T20:41:21.382Z[UTC],knife hnde,['spotify:track:18IzbU4Iy1ktWsOZOJDiD1']
IPHONE_ARM64,2024-01-10T20:42:34.567Z[UTC],dif,[]
IPHONE_ARM64,2024-01-10T20:42:35.280Z[UTC],differ,[]
IPHONE_ARM64,2024-01-10T20:42:35.695Z[UTC],differen,[]
IPHONE,2024-01-10T20:42:37.576Z[UTC],different mag,['spotify:track:1yUdkvkB1J4eRHEfA1DQ35']
OSX_X86_64,2024-01-11T09:52:02.018Z[UTC],mo,[]
IPHONE_ARM64,2024-01-11T21:28:31.506Z[UTC],dar,[]
IPHONE,2024-01-11T21:28:32.271Z[UTC],dark be,['spotify:track:5QmdK8QFbY8TLVKPuJzexD']
IPHONE_ARM64,2024-01-11T22:56:31.572Z[UTC],giot,[]
IPHONE,2024-01-11T22:56:33.310Z[UTC],giorgo ,"['spotify:track:0oks4FnzhNp5QPTZtoet7c', 'spotify:artist:6jU2Tt13MmXYk0ZBv1KmfO']"
IPHONE_ARM64,2024-01-11T22:57:47.902Z[UTC],kr,[]
IPHONE,2024-01-11T22:57:49.304Z[UTC],kraftwer,"['spotify:track:3VwLD5o1r0YBLkjUfgSEYg', 'spotify:artist:0dmPX6ovclgOy8WWJaFEUU']"
,2024-01-12T00:44:45.081Z[UTC],g,[]
,2024-01-12T00:44:45.141Z[UTC],g,[]
,2024-01-12T00:44:45.368Z[UTC],gl,[]
,2024-01-12T00:44:45.422Z[UTC],gl,[]
,2024-01-12T00:44:45.820Z[UTC],gla,[]
,2024-01-12T00:44:45.863Z[UTC],gla,[]
,2024-01-12T00:44:46.061Z[UTC],glad,[]
,2024-01-12T00:44:46.108Z[UTC],glad,[]
,2024-01-12T00:44:46.431Z[UTC],gladi,[]
,2024-01-12T00:44:46.487Z[UTC],gladi,[]
,2024-01-12T00:44:46.799Z[UTC],gladia,[]
,2024-01-12T00:44:46.844Z[UTC],gladia,[]
IPHONE_ARM64,2024-01-12T00:44:46.953Z[UTC],gladia,[]
,2024-01-12T00:44:47.178Z[UTC],gladiat,[]
,2024-01-12T00:44:47.221Z[UTC],gladiat,[]
,2024-01-12T00:44:47.397Z[UTC],gladiato,[]
,2024-01-12T00:44:47.446Z[UTC],gladiato,[]
,2024-01-12T00:44:47.770Z[UTC],gladiator,[]
,2024-01-12T00:44:47.809Z[UTC],gladiator,[]
IPHONE,2024-01-12T00:44:48.011Z[UTC],gladiator,['spotify:track:1elGwF4VwkwglV4nCBPJtv']
,2024-01-12T00:52:58.767Z[UTC],i,[]
,2024-01-12T00:52:58.837Z[UTC],i,[]
,2024-01-12T00:52:59.026Z[UTC],i ,[]
,2024-01-12T00:52:59.076Z[UTC],i ,[]
,2024-01-12T00:52:59.241Z[UTC],i n,[]
,2024-01-12T00:52:59.290Z[UTC],i n,[]
,2024-01-12T00:52:59.629Z[UTC],i ne,[]
,2024-01-12T00:52:59.667Z[UTC],i ne,[]
,2024-01-12T00:52:59.786Z[UTC],i nee,[]
,2024-01-12T00:52:59.823Z[UTC],i nee,[]
,2024-01-12T00:53:00.122Z[UTC],i need,[]
,2024-01-12T00:53:00.175Z[UTC],i need,[]
,2024-01-12T00:53:00.500Z[UTC],i need ,[]
,2024-01-12T00:53:00.550Z[UTC],i need ,[]
IPHONE,2024-01-12T00:53:00.753Z[UTC],i need ,['spotify:track:3kzWSM2WWJceyKOMRHzntJ']
